n;p;LOF;DBSCAN;Optics;kNN;IF;SVM;BEST;;
148;18;0,7465;0,7735;0,6561;0,8298;0,7218;0,7606;0,8298;;
278;30;0,8580;0,7721;0,6877;0,8250;0,8137;0,7619;0,858;;
214;9;0,5989;0,7431;0,6301;0,7192;0,5374;0,6750;0,7431;;
214;9;0,5989;0,6588;0,8591;0,6970;0,3951;0,6320;0,8591;;
1456;12;0,6690;0,7418;0,7025;0,9180;0,6398;0,7550;0,918;;
1831;21;0,5160;0,7573;0,5461;0,5790;0,6615;0,7897;0,7897;;
3772;6;0,5531;0,8136;0,5760;0,7350;0,9381;0,8570;0,9381;;
3772;21;0,4987;0,4992;0,5000;0,4990;0,5565;0,6627;0,6627;;
3772;21;0,5111;0,5010;0,5063;0,5373;0,4779;0,6630;0,663;;
3062;166;1,0000;1,0000;0,0000;1,0000;1,0000;0,8570;1;;
3062;166;1,0000;1,0000;1,0000;1,0000;0,7889;0,8570;1;;
5803;36;0,5433;0,9803;0,5395;0,9640;0,9084;0,9480;0,9803;;
5803;36;0,5532;0,9818;0,5555;0,9670;0,0000;0,9480;0,9818;;
1600;32;0,6930;0,6040;0,6083;0,8310;0,5320;0,5960;0,831;;
1600;32;0,6043;0,6100;0,6200;0,8070;0,5230;0,6677;0,807;;
3686;400;0,5197;0,5198;0,4966;0,5290;0,5110;0,5292;0,5292;;
3686;400;0,5188;0,4982;0,5142;0,5265;0,5095;0,5663;0,5663;;
768;8;0,5028;0,5925;0,5070;0,5235;0,5259;0,5936;0,5936;;
768;8;0,5112;0,5533;0,5396;0,5324;0,4958;0,5787;0,5787;;
6435;36;0,5271;0,6083;0,5791;0,6070;0,6189;0,5887;0,6189;;
6435;36;0,5231;0,5870;0,5750;0,6090;0,0000;0,6393;0,6393;;
49097;9;0,0000;0,5698;0,0000;0,5570;0,9734;0,7942;0,9734;;
49097;9;0,0000;0,5791;0,5250;0,5290;0,6537;0,7653;0,7653;;
683;9;0,9540;0,9706;0,7337;0,9709;0,9162;0,8829;0,9709;;
452;274;0,6221;0,5820;0,6758;0,7260;0,6847;0,5000;0,726;;
452;274;0,7087;0,6520;0,6450;0,7150;0,5260;0,6950;0,715;;
452;279;0,6952;0,6057;0,6943;0,7010;0,6851;0,5530;0,701;;
452;279;0,7028;0,6330;0,6400;0,6350;0,5296;0,5803;0,7028;;
351;33;0,7952;0,7416;0,8227;0,8990;0,7168;0,8086;0,899;;
7603;100;0,6078;0,5816;0,0000;0,6728;0,5933;0,7340;0,734;;
7603;100;0,5874;0,5759;0,6768;0,6950;0,5214;0,7336;0,7336;;
5216;64;0,5123;0,4951;0,4644;0,5040;0,5211;0,5516;0,5516;;
5216;64;0,4974;0,4941;0,4745;0,0000;0,7615;0,5668;0,7615;;
567479;3;0,0000;0,5061;0,0000;0,5170;0,9935;0,0000;0,9935;;
567479;3;0,0000;0,5121;0,4823;0,5170;0,9960;0,0000;0,996;;
286048;10;0,0000;0,6670;0,0000;0,6960;0,6141;0,0000;0,696;;
286048;10;0,0000;0,5249;0,0000;0,5740;0,3684;0,0000;0,574;;
286048;54;0,0000;0,0000;0,0000;0,6470;0,9126;0,0000;0,9126;;
286048;54;0,0000;0,0000;0,0000;0,6886;0,3998;0,0000;0,6886;;
95156;3;0,0000;0,0000;0,0000;0,8300;0,8295;0,8334;0,8334;;
95156;3;0,0000;0,0000;0,0000;0,8318;0,6991;0,7001;0,8318;;
11183;6;0,5133;0,5784;0,5440;0,7314;0,5772;0,8010;0,801;;
11183;6;0,5278;0,5784;0,5440;0,6490;0,5772;0,8011;0,8011;;
7200;6;0,5439;0,5708;0,6061;0,6010;0,6425;0,6193;0,6425;;
7200;6;0,5278;0,5841;0,5943;0,5770;0,5939;0,6193;0,6193;;
7200;21;0,4845;0,5198;0,5007;0,4890;0,5214;0,5310;0,531;;
7200;21;0,5112;0,5293;0,5012;0,5125;0,5067;0,5371;0,5371;;
6870;16;0,5089;0,5210;0,5244;0,5580;0,6680;0,7557;0,7557;;
336;7;0,6483;0,8705;0,8736;0,8550;0,8736;0,7936;0,8736;;
129;13;0,8706;0,9832;0,9240;0,9916;0,7496;0,6605;0,9916;;
129;13;0,4412;0,8286;0,8664;0,5160;0,8870;0,6605;0,887;;
240;6;0,4714;0,4762;0,4905;0,0000;0,4333;0,5762;0,5762;;
240;6;0,5333;0,4857;0,4857;0,0000;0,6929;0,5762;0,6929;;
